hrs1,sex,racecen1,mntlhlth,depress,wrkstat
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,ASIAN INDIAN,2,No,Working full time
40,FEMALE,WHITE,15,No,Working full time
60,MALE,WHITE,3,No,Working full time
50,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
16,FEMALE,WHITE,17,Yes,Working part time
45,FEMALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,3,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
45,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
72,MALE,WHITE,0,No,Working full time
32,FEMALE,WHITE,0,No,Working full time
28,MALE,WHITE,0,No,Working part time
40,MALE,WHITE,10,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,0,No,Working full time
65,MALE,SAMOAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,30,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
40,FEMALE,SOME OTHER RACE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,5,Yes,Working full time
40,MALE,WHITE,5,Yes,Working full time
75,MALE,WHITE,0,Yes,Working full time
40,MALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Working full time
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,5,Yes,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
17,FEMALE,WHITE,15,Yes,Working full time
80,FEMALE,.n:  No answer,-97,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
36,MALE,WHITE,5,Yes,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
50,FEMALE,WHITE,15,Yes,Working full time
40,MALE,WHITE,5,No,Working full time
48,FEMALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
50,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,2,No,Working full time
8,FEMALE,WHITE,3,No,Working part time
40,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,7,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
40,FEMALE,WHITE,0,No,Working full time
40,FEMALE,BLACK OR AFRICAN AMERICAN,3,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,0,Yes,Working full time
89+ hrs,MALE,WHITE,1,No,Working full time
30,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,FEMALE,HISPANIC,.i:  Inapplicable,.i:  Inapplicable,Working full time
70,MALE,WHITE,15,Yes,Working full time
37,FEMALE,WHITE,4,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,0,No,Working full time
40,MALE,WHITE,5,Yes,Working full time
50,FEMALE,WHITE,4,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,BLACK OR AFRICAN AMERICAN,2,No,Working full time
18,FEMALE,WHITE,0,No,Working part time
40,MALE,WHITE,0,No,Working full time
50,MALE,WHITE,3,No,Working full time
50,FEMALE,WHITE,24,No,Working full time
50,MALE,.n:  No answer,-97,No,Working full time
40,FEMALE,WHITE,5,Yes,Working part time
40,FEMALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,FEMALE,WHITE,5,No,Working full time
40,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working full time
40,FEMALE,WHITE,6,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
12,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
50,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
20,MALE,WHITE,0,Yes,Working part time
25,FEMALE,WHITE,14,Yes,Working part time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
20,FEMALE,WHITE,0,Yes,Working part time
.i:  Inapplicable,MALE,.i:  Inapplicable,.i:  Inapplicable,.i:  Inapplicable,Other
40,FEMALE,WHITE,7,Yes,Working full time
50,FEMALE,WHITE,10,Yes,Working full time
25,FEMALE,HISPANIC,15,Yes,Working part time
35,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
65,MALE,WHITE,0,No,Working full time
45,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,15,Yes,Working full time
40,MALE,WHITE,30,No,Working full time
40,MALE,HISPANIC,0,No,Working full time
48,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
41,FEMALE,SOME OTHER RACE,-97,No,Working full time
18,FEMALE,WHITE,10,Yes,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
38,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
60,MALE,WHITE,7,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
60,MALE,WHITE,1,No,Working full time
46,FEMALE,WHITE,5,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,2,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
48,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,ASIAN INDIAN,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,FEMALE,WHITE,4,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,30,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
45,FEMALE,VIETNAMESE,25,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,MALE,WHITE,20,No,Working full time
40,FEMALE,WHITE,1,No,Working full time
35,FEMALE,.d:  Do not Know/Cannot Choose,1,Yes,Working full time
25,FEMALE,WHITE,6,Yes,Working part time
50,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,5,Yes,Working full time
24,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,2,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
20,MALE,WHITE,5,Yes,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,CHINESE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,15,No,"With a job, but not at work because of temporary illness, vacation, strike"
35,FEMALE,WHITE,15,Yes,Working full time
50,MALE,WHITE,0,No,Working full time
45,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Other
35,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,AMERICAN INDIAN OR ALASKA NATIVE,0,No,Working full time
12,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
42,MALE,WHITE,0,No,Working full time
54,MALE,WHITE,2,No,Working full time
40,FEMALE,WHITE,10,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
43,FEMALE,WHITE,-97,Yes,Working full time
30,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,2,Yes,Working full time
40,FEMALE,WHITE,5,Yes,Working full time
40,FEMALE,WHITE,5,No,Working full time
.i:  Inapplicable,FEMALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,1,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
25,MALE,AMERICAN INDIAN OR ALASKA NATIVE,2,No,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
56,FEMALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,25,No,Working full time
20,MALE,WHITE,5,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
35,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
15,FEMALE,WHITE,0,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
41,FEMALE,BLACK OR AFRICAN AMERICAN,7,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
36,MALE,WHITE,6,Yes,Working full time
40,FEMALE,WHITE,0,No,Working full time
20,FEMALE,WHITE,2,No,Working part time
47,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
40,FEMALE,WHITE,3,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
34,FEMALE,.i:  Inapplicable,.d:  Do not Know/Cannot Choose,No,Working full time
10,FEMALE,WHITE,10,Yes,Working part time
.d:  Do not Know/Cannot Choose,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,30,No,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
38,FEMALE,WHITE,20,No,Working full time
23,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,0,No,"With a job, but not at work because of temporary illness, vacation, strike"
42,MALE,WHITE,0,No,Working full time
36,MALE,BLACK OR AFRICAN AMERICAN,3,No,Working full time
55,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,3,Yes,Working full time
45,FEMALE,WHITE,1,No,Working full time
.i:  Inapplicable,FEMALE,AMERICAN INDIAN OR ALASKA NATIVE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,1,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
50,FEMALE,ASIAN INDIAN,0,No,Working full time
20,MALE,WHITE,28,Yes,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
20,MALE,WHITE,0,No,Working part time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
60,MALE,WHITE,20,Yes,Working full time
20,FEMALE,ASIAN INDIAN,0,No,Working full time
36,FEMALE,WHITE,-97,Yes,Working full time
50,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,20,Yes,"With a job, but not at work because of temporary illness, vacation, strike"
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
32,FEMALE,WHITE,0,No,Working full time
0,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
12,FEMALE,WHITE,0,No,Working part time
40,FEMALE,WHITE,-97,.s:  Skipped on Web,Working full time
45,MALE,WHITE,1,Yes,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
30,MALE,WHITE,0,No,Working part time
35,FEMALE,WHITE,3,Yes,Working full time
20,MALE,WHITE,3,No,Working part time
.i:  Inapplicable,FEMALE,SOME OTHER RACE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
40,FEMALE,WHITE,3,Yes,Working full time
40,FEMALE,WHITE,4,Yes,Working full time
.i:  Inapplicable,FEMALE,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
20,MALE,WHITE,0,No,Working part time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
45,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,1,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
42,FEMALE,WHITE,3,Yes,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
35,FEMALE,WHITE,4,Yes,Working part time
40,MALE,WHITE,10,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
41,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,.d:  Do not Know/Cannot Choose,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
60,FEMALE,WHITE,10,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
50,FEMALE,WHITE,0,No,Working full time
40,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
48,MALE,WHITE,0,No,Working full time
42,FEMALE,WHITE,1,No,Working full time
40,FEMALE,WHITE,2,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,WHITE,0,No,Working full time
34,FEMALE,WHITE,5,No,Working part time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
45,MALE,WHITE,0,Yes,Working full time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,In school
50,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
60,MALE,WHITE,10,Yes,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
20,MALE,WHITE,0,No,Working part time
32,FEMALE,WHITE,30,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Keeping house
.s:  Skipped on Web,FEMALE,.n:  No answer,-97,No,Working full time
50,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
45,FEMALE,WHITE,5,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
80,FEMALE,WHITE,15,Yes,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
42,FEMALE,WHITE,14,Yes,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,MALE,WHITE,0,No,Working full time
21,FEMALE,WHITE,.n:  No answer,No,Working part time
38,FEMALE,WHITE,0,No,Working full time
24,MALE,WHITE,0,No,Working part time
55,MALE,WHITE,5,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
40,FEMALE,WHITE,0,No,Working full time
65,MALE,WHITE,3,Yes,Working full time
40,MALE,BLACK OR AFRICAN AMERICAN,4,No,Working full time
40,MALE,WHITE,0,No,Working full time
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,.n:  No answer,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
5,FEMALE,WHITE,0,No,Working part time
30,FEMALE,WHITE,0,Yes,Working part time
.s:  Skipped on Web,FEMALE,.n:  No answer,.i:  Inapplicable,.i:  Inapplicable,.s:  Skipped on Web
.i:  Inapplicable,.d:  Do not Know/Cannot Choose,WHITE,.i:  Inapplicable,.i:  Inapplicable,In school
40,FEMALE,WHITE,0,No,Working full time
.i:  Inapplicable,FEMALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Retired
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,"Unemployed, laid off, looking for work"
40,MALE,BLACK OR AFRICAN AMERICAN,0,No,Working full time
15,FEMALE,BLACK OR AFRICAN AMERICAN,0,No,Working part time
.i:  Inapplicable,FEMALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Retired
45,FEMALE,BLACK OR AFRICAN AMERICAN,3,No,Working full time
38,FEMALE,HISPANIC,0,No,Working full time
.i:  Inapplicable,MALE,BLACK OR AFRICAN AMERICAN,.i:  Inapplicable,.i:  Inapplicable,Keeping house
48,MALE,SOME OTHER RACE,1,No,Working full time
48,MALE,WHITE,0,No,Working full time
.i:  Inapplicable,MALE,WHITE,.i:  Inapplicable,.i:  Inapplicable,Other
